IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
"F0F1 ATP synthase delta/epsilon subunit, N-terminal (IPR036771)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
LysM domain superfamily (IPR036779)	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
"Translation initiation factor 3 (IF-3), N-terminal domain superfamily (IPR036787)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	2	2
"Translation initiation factor 3 (IF-3), C-terminal domain superfamily (IPR036788)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	2	2
"Ribosomal protein L6, alpha-beta domain superfamily (IPR036789)"	0	0	4	0	0	0	2	0	0	0	4	0	4	0	4	6	4	4	4	4
"Ribosomal protein L9, C-terminal domain superfamily (IPR036791)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	2	2	0	2
"Ribosomal protein L11/L12, N-terminal domain superfamily (IPR036796)"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	2	2	2
"Porphobilinogen deaminase, C-terminal domain superfamily (IPR036803)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	1	2
"Chemotaxis receptor methyltransferase CheR, N-terminal domain superfamily (IPR036804)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Transcription elongation factor, GreA/GreB, N-terminal domain superfamily (IPR036805)"	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	4	0	2
NADP-dependent oxidoreductase domain superfamily (IPR036812)	0	4	2	0	0	0	0	0	0	0	2	4	2	0	0	0	4	2	2	0
Peptide deformylase superfamily (IPR036821)	0	0	0	0	0	0	0	0	0	0	4	2	2	0	2	2	2	2	0	4
Copper homeostasis (CutC) domain superfamily (IPR036822)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Ribosomal protein S7 domain superfamily (IPR036823)	0	0	0	0	0	0	2	2	0	0	4	2	2	2	2	2	2	2	0	2
Polyphosphate kinase middle domain superfamily (IPR036830)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
Polyphosphate kinase N-terminal domain superfamily (IPR036832)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
"Cation efflux protein, cytoplasmic domain superfamily (IPR036837)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein S10 domain superfamily (IPR036838)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	2	4	2	0	2
"Ribosome maturation factor RimP, C-terminal domain superfamily (IPR036847)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"Enolase-like, C-terminal domain superfamily (IPR036849)"	0	4	2	0	0	0	0	0	0	0	3	2	6	0	6	5	3	3	3	3
Nucleoside diphosphate kinase-like domain superfamily (IPR036850)	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	2	2	2	0	2
Peptidase S8/S53 domain superfamily (IPR036852)	0	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	0	0
Ribosomal protein L14 superfamily (IPR036853)	0	0	0	0	0	0	2	0	0	0	2	2	2	0	2	2	2	2	2	2
Zn(2)-C6 fungal-type DNA-binding domain superfamily (IPR036864)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease Z/Hydroxyacylglutathione hydrolase-like (IPR036866)	2	4	2	0	0	0	2	2	2	0	4	2	6	0	7	6	6	4	4	4
TusA-like domain superfamily (IPR036868)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
Chaperone J-domain superfamily (IPR036869)	0	0	2	0	0	0	2	2	0	0	6	0	6	0	4	7	4	6	4	6
Ribosomal protein S18 superfamily (IPR036870)	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
Rhodanese-like domain superfamily (IPR036873)	0	0	2	0	0	0	2	2	0	0	2	0	2	0	2	2	2	2	0	2
Carbonic anhydrase superfamily (IPR036874)	0	0	0	0	0	0	2	0	0	0	2	0	4	0	2	2	2	2	0	2
UVR domain superfamily (IPR036876)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1	2	1	2
Glucose permease domain IIB (IPR036878)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Glycoside hydrolase family 3 C-terminal domain superfamily (IPR036881)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWIB/MDM2 domain superfamily (IPR036885)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTH APSES-type DNA-binding domain superfamily (IPR036887)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Histidine kinase/HSP90-like ATPase superfamily (IPR036890)	0	14	10	0	2	0	12	4	0	0	12	6	12	0	10	15	15	14	6	12
"Signal recognition particle, SRP54 subunit, M-domain superfamily (IPR036891)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2
Nucleoid-associated protein YbaB-like domain superfamily (IPR036894)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	2	2
Uracil-DNA glycosylase-like domain superfamily (IPR036895)	0	0	0	0	0	0	0	2	0	2	4	0	5	0	4	4	4	4	2	4
"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain superfamily (IPR036897)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	2	2
Ribosomal protein L13 superfamily (IPR036899)	0	0	2	0	0	0	2	0	0	0	2	0	2	0	2	4	0	2	2	2
"Alpha-D-phosphohexomutase, C-terminal domain superfamily (IPR036900)"	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	3	2	2	1	2
Aspartate/ornithine carbamoyltransferase superfamily (IPR036901)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	5	2	3	5	3
"5'-Nucleotidase, C-terminal domain superfamily (IPR036907)"	0	0	0	0	0	0	2	2	0	0	2	2	2	0	2	2	2	2	2	2
RlpA-like domain superfamily (IPR036908)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	1	4
Cytochrome c-like domain superfamily (IPR036909)	0	2	0	0	0	0	6	2	0	0	18	0	17	0	17	17	15	18	4	20
Methylglyoxal synthase-like domain superfamily (IPR036914)	0	0	0	0	0	0	4	0	0	0	2	0	2	0	0	4	2	2	2	2
"Pyruvate kinase, C-terminal domain superfamily (IPR036918)"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"Ribosomal protein L30, ferredoxin-like fold domain superfamily (IPR036919)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Ribosomal protein L10e/L16 superfamily (IPR036920)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	2	2	2	2
"PurM-like, N-terminal domain superfamily (IPR036921)"	0	0	4	0	0	0	0	2	0	0	2	0	4	0	2	4	0	3	0	2
Rieske [2Fe-2S] iron-sulphur domain superfamily (IPR036922)	0	0	0	0	0	0	4	0	2	0	2	0	2	0	2	2	2	2	0	2
"Translation initiation factor IF-2, domain 3 superfamily (IPR036925)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	3	2	4	2	0	2
"Cytochrome c oxidase-like, subunit I  superfamily (IPR036927)"	0	2	4	2	0	0	6	2	0	0	2	2	2	0	2	2	4	2	0	2
Amidase signature (AS) superfamily (IPR036928)	0	6	2	0	0	0	0	2	0	0	4	2	2	0	4	4	4	2	2	2
"Ribosomal protein L9, N-terminal domain superfamily (IPR036935)"	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1
Phosphatidic acid phosphatase type 2/haloperoxidase superfamily (IPR036938)	0	0	1	0	0	0	1	0	0	0	4	2	4	0	2	3	3	4	0	4
"TonB-dependent receptor-like, beta-barrel domain superfamily (IPR036942)"	0	4	4	0	0	0	4	4	0	0	13	6	9	0	13	13	12	9	3	7
Diacylglycerol kinase (DAGK) superfamily (IPR036945)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
Penicillin binding protein transglycosylase domain (IPR036950)	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	4
"Transcription elongation factor GreA/GreB, C-terminal domain superfamily (IPR036953)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	0	1
"Impact, N-terminal domain superfamily (IPR036956)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	1	0	1
Ribosomal protein S11 superfamily (IPR036967)	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1
Enolpyruvate transferase domain superfamily (IPR036968)	0	0	1	0	0	0	0	0	0	0	4	1	5	0	5	7	4	5	3	4
Citrate synthase superfamily (IPR036969)	1	2	0	0	0	0	1	1	0	0	2	1	1	1	0	1	1	1	1	1
"RimM, N-terminal domain superfamily (IPR036976)"	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1
"DNA Primase, CHC2-type zinc finger (IPR036977)"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	1	1	1
Chorismate mutase domain superfamily (IPR036979)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
RNA-binding S4 domain superfamily (IPR036986)	0	1	1	0	0	0	0	0	0	0	6	0	6	0	5	7	6	6	2	6
Microviridae F protein superfamily (IPR037002)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exonuclease VII, small subunit superfamily (IPR037004)"	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	2	0	2	2	2
S-ribosylhomocysteinase (LuxS) superfamily (IPR037005)	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
"Histidine kinase  CheA-like, homodimeric domain superfamily (IPR037006)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
"Vitamin B12-dependent methionine synthase, activation domain superfamily (IPR037010)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NanQ anomerase/TabA/YiaL superfamily (IPR037012)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	2
"Formyl transferase, C-terminal domain superfamily (IPR037022)"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[NiFe]-hydrogenase, small subunit, N-terminal domain superfamily (IPR037024)"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	2	1	0	1
"Vgr protein, OB-fold domain superfamily (IPR037026)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YqgF/RNase H-like domain superfamily (IPR037027)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	0	1
"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily (IPR037033)"	0	0	0	0	0	0	1	2	0	0	2	3	1	0	2	1	3	1	2	1
"RNA polymerase Rpb2, domain 2 superfamily (IPR037034)"	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	2	1	1	0	1
"Glycerate kinase-like, C-terminal domain superfamily (IPR037035)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trigger factor, C-terminal domain superfamily (IPR037041)"	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	1	2	1	2	1
Peptidase S8 propeptide/proteinase inhibitor I9 superfamily (IPR037045)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Four-carbon acid sugar kinase, N-terminal domain superfamily (IPR037051)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA mismatch repair MutH/Type II restriction endonuclease superfamily (IPR037057)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Flagellar hook protein FlgE superfamily (IPR037058)	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1
"Malic enzyme, N-terminal domain superfamily (IPR037062)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterial Pleckstrin homology domain superfamily (IPR037063)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TonB-dependent receptor, plug domain superfamily (IPR037066)"	0	1	0	0	0	0	2	3	0	0	6	1	6	1	6	7	7	7	2	6
"DNA primase, catalytic core, N-terminal domain superfamily (IPR037068)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	1	1	0	1
"Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily (IPR037069)"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
AF2212/PG0164-like superfamily (IPR037079)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Glycoside hydrolase family 38, central domain superfamily (IPR037094)"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily (IPR037099)"	0	0	0	0	0	0	1	1	0	0	1	0	1	0	2	2	1	1	0	2
"Tubulin/FtsZ-like, C-terminal domain (IPR037103)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Putative outer membrane protein superfamily (IPR037107)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	1	1
"TM1727-like, C-terminal domain superfamily (IPR037108)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Valyl-tRNA synthetase, tRNA-binding arm superfamily (IPR037118)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Haem oxygenase HugZ-like superfamily (IPR037119)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Ribosomal protein L25, C-terminal (IPR037121)"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	2	0	1
"Phosphoribosylglycinamide synthetase, C-domain superfamily (IPR037123)"	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
GroES chaperonin superfamily (IPR037124)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Quinolinate phosphoribosyl transferase, N-terminal domain superfamily (IPR037128)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Histone deacetylase domain superfamily (IPR037138)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4'-phosphopantetheinyl transferase domain superfamily (IPR037143)	0	3	0	0	0	0	0	2	0	0	2	0	2	0	2	2	2	2	0	2
Ribosomal protein L28/L24 superfamily (IPR037147)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1
"[NiFe]-hydrogenase, small subunit, C-terminal domain superfamily (IPR037148)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"L-asparaginase, N-terminal domain superfamily (IPR037152)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"UDP-N-acetylglucosamine O-acyltransferase, C-terminal domain superfamily (IPR037157)"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	1	1	0	1
"Threonine synthase, N-terminal domain superfamily (IPR037158)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1
"Spermidine synthase, tetramerisation domain superfamily (IPR037163)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily (IPR037165)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NagB/RpiA transferase-like (IPR037171)	1	0	5	0	0	0	0	2	0	0	7	6	7	0	4	9	7	6	2	6
Trimeric adhesin (IPR037174)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HSP90, C-terminal domain (IPR037196)"	0	0	0	0	0	0	0	2	0	0	2	0	2	0	2	2	0	2	2	2
"MutL, C-terminal domain superfamily (IPR037198)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptidase M41-like (IPR037219)	0	0	0	0	0	0	2	2	0	0	6	0	6	0	4	4	2	4	0	4
"NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain superfamily (IPR037225)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Ribosomal protein L35 superfamily (IPR037229)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	2	0	2	0	2
"NADH:ubiquinone oxidoreductase, 30kDa subunit superfamily (IPR037232)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	3	2	2	1	2
"TRCF-like, C-terminal D7 domain (IPR037235)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	4	2	2	0	2
"IlvD/EDD, N-terminal domain (IPR037237)"	0	1	3	0	0	0	2	0	0	0	1	1	1	0	1	2	1	1	2	1
Sodium:neurotransmitter symporter superfamily (IPR037272)	0	0	1	0	0	0	0	1	0	0	3	2	4	0	4	4	3	2	1	2
"SUF system FeS cluster assembly, SufBD superfamily (IPR037284)"	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0
"ABC transporter, BtuC-like (IPR037294)"	0	0	2	0	0	2	0	2	0	0	2	2	5	0	2	4	2	4	2	2
FMN hydroxy acid dehydrogenase domain (IPR037396)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"1,4-alpha-glucan-branching enzyme (IPR037439)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Aerobactin siderophore biosynthesis, IucA/IucC-like (IPR037455)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YlxR (IPR037465)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"Ribose-phosphate pyrophosphokinase, bacterial-type (IPR037515)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
Vicinal oxygen chelate (VOC) domain (IPR037523)	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4-hydroxythreonine-4-phosphate dehydrogenase, epsilonproteobacteria (IPR037539)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
Target of rapamycin complex subunit LST8 (IPR037588)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TonB, C-terminal (IPR037682)"	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	2	1	2	0	2
 (IPR037754)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 (IPR037783)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Knr4/Smi1-like domain superfamily (IPR037883)	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	2	2	2	0	2
SpoVT-AbrB domain superfamily (IPR037914)	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Flagellar hook-basal body protein, FlgE/F/G-like (IPR037925)"	0	0	0	0	0	0	2	3	0	0	7	3	6	0	5	6	7	5	2	5
Peptidoglycan deacetylase PgdA-like (IPR037950)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
"GlmU, C-terminal LbH domain (IPR038009)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
Uncharacterised protein HP_1531 (IPR038018)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Putative hydro-lyase (IPR038021)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GbiG N-terminal domain superfamily (IPR038029)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"L,D-transpeptidase catalytic domain-like (IPR038063)"	0	0	1	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
UROD/MetE-like superfamily (IPR038071)	0	4	0	0	0	0	0	0	0	0	2	0	4	2	4	2	4	2	4	4
"MgtE, N-terminal domain superfamily (IPR038076)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	0	1
PhoU-like domain superfamily (IPR038078)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3-deoxy-D-manno-octulosonic-acid transferase, N-terminal domain superfamily (IPR038107)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
"RNA polymerase Rpb1, funnel domain superfamily (IPR038120)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	0	1
"Methylthiotransferase, N-terminal domain superfamily (IPR038135)"	0	0	0	0	0	0	0	2	0	0	3	3	3	0	3	3	3	3	2	3
Cytochrome P460 superfamily (IPR038142)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Ferrous iron transporter, core domain (IPR038157)"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1
"VirB9/CagX/TrbG, C-terminal domain superfamily (IPR038161)"	0	1	0	0	0	0	2	1	0	0	1	0	3	0	4	4	2	2	1	4
 (IPR038210)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1
"YidC, periplasmic domain superfamily (IPR038221)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
Pathogenicity island component CagD superfamily (IPR038229)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1
"Jag, N-terminal domain superfamily (IPR038247)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"Ubiquitin-activating enzyme E1, C-terminal domain superfamily (IPR038252)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UreF domain superfamily (IPR038277)	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	3	1	0	1
CagS superfamily (IPR038306)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
DUF1104 superfamily (IPR038310)	0	0	0	0	0	0	0	1	0	0	4	0	4	0	2	3	3	3	2	3
"FLiS export co-chaperone, HP1076 superfamily (IPR038315)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1
"Type I restriction enzyme EcoKI-like, methylase subunit, N-terminal domain superfamily (IPR038333)"	0	0	0	0	0	0	0	1	0	0	1	0	3	0	2	2	1	2	3	3
"Connexin, N-terminal domain superfamily (IPR038359)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase, middle domain superfamily (IPR038361)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"LepA, C-terminal domain superfamily (IPR038363)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
"Urocanase, central domain superfamily (IPR038364)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"EcoRII, C-terminal domain superfamily (IPR038365)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Zinc finger, ClpX C4-type superfamily (IPR038366)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Multi-copper polyphenol oxidoreductase superfamily (IPR038371)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Restriction endonuclease ThaI superfamily (IPR038374)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Protein arginine methyltransferase NDUFAF7 superfamily (IPR038375)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	1	1	0	1
"ATP synthase, alpha subunit, C-terminal domain superfamily (IPR038376)"	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	1	1	0	1
Sodium/glucose symporter superfamily (IPR038377)	0	0	1	0	0	0	0	1	0	0	1	0	1	0	3	1	2	2	2	1
SecE superfamily (IPR038379)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
Ribosomal protein S21 superfamily (IPR038380)	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1
DNA replication regulator HobA superfamily (IPR038381)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
"Metal-sensitive repressor, helix protomer superfamily (IPR038390)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRAP transporter solute receptor DctP superfamily (IPR038404)	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cbb3-type cytochrome c oxidase subunit CcoP, N-terminal domain superfamily (IPR038414)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1
6-pyruvoyl tetrahydropterin synthase/QueD superfamily (IPR038418)	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1
"NADH:ubiquinone oxidoreductase, subunit 3 superfamily (IPR038430)"	0	0	1	0	0	0	1	0	0	0	1	0	2	0	1	1	1	1	0	1
DUF465 superfamily (IPR038444)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
"DnaA, N-terminal domain superfamily (IPR038454)"	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
"UvrC, RNAse H endonuclease domain superfamily (IPR038476)"	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	1	1	1	0	1
Imidazole glycerol phosphate dehydratase domain superfamily (IPR038494)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
BRO1 domain superfamily (IPR038499)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ThiC/Bza, core domain (IPR038521)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AmiS/UreI transporter superfamily (IPR038523)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Neuraminyllactose-binding hemagglutinin superfamily (IPR038531)	0	0	0	0	0	0	0	0	0	0	3	1	4	0	3	3	4	3	1	3
"Alkyl/aryl-sulfatase, dimerisation domain superfamily (IPR038536)"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HicA superfamily (IPR038570)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
"GT10-like, C-terminal domain superfamily (IPR038577)"	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	2	1	0	1
Ribosomal protein L33 superfamily (IPR038584)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
SepF-like superfamily (IPR038594)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PhoD-like superfamily (IPR038607)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"FliK-like, C-terminal domain superfamily (IPR038610)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
MraZ superfamily (IPR038619)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
